title,price,type,bedrooms,bathrooms,location,url,description,amenities,area,country,city,district,price_per_sqft,description_word_count,description_char_count,title_word_count,title_char_count,amenities_word_count,amenities_char_count,has_security_amenities,has_parking_amenities,has_pool_amenities,has_gym_amenities,has_kitchen_amenities,has_outdoor_amenities,has_luxury_amenities,has_utilities_amenities,total_amenities
250 Sqm | Duplex For Sale In Achrafieh,700000.0,Duplex,3.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21211/duplex-for-sale-achrafieh-lebanon-AP-21211,"Duplex For Sale In Achrafieh New Building - Prime Location  Space : 250 SQM  Unit Features:  • 3 Master Bedrooms  • 5 Bathrooms • Living Room • Dining Area • Maid’s Room • Closed Kitchen Fully Equipped   Features:  • Full Time Concierge • Full Time Security • Central AC • 24/7 Electricity   Facilities:  • 1 Underground Parkings  • 1 Storage   Sale Price: 700,000$ +2.5% Brokerage Fees  - Reference #CS359 - Reference CS359 700,000 USD Save Share","['Maids Room', 'Central A/C', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Storage Room', 'Near Public transportation', 'Near restaurants']",2691.0,Lebanon,Achrafieh,Beirut ,260.12634708286885,76,447,8,38,20,183,1,1,0,0,2,0,0,0,10
Open Panoramic Sea View | 374 Sqm | Apt For Sale,970000.0,Apartment,4.0,6.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21210/apartment-for-sale-achrafieh-lebanon-AP-21210,"Brand New Apartment For Sale In Achrafieh With All Facilities Brand New Building - Prime Location - Easy Access Open Panoramic Sea View   Space : 374 Sqm  Unit Features:  • 4 Master Bedrooms  • 6 Bathrooms • Living Room • Dining Room • Closed Modern Kitchen • Maids Room   Features:  • Central AC • Heating System  Facilities:  • Concierge full time • 24/7 Electricity • 24/7 Security • Shared Pool and Gym • 3 Underground Parkings • Storage Room  Sale Price: 970,000$ +2.5% Brokerage fees  - Reference #CS286 - Reference CS286 970,000 USD Save Share","['Maids Room', 'Central A/C', 'Shared Pool', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'View of Water', 'Shared Gym', 'Storage Room', 'Near Public transportation', 'Near restaurants']",4026.0,Lebanon,Achrafieh,Beirut ,240.93392945851963,95,550,11,48,27,229,1,1,1,1,2,0,0,1,13
Central LocationlNew DuplexlShared Pool and Gym,560000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M022/apartment-for-sale-achrafieh-lebanon-MRE-M022,"237sqm New Duplex in a Modern building for Sale in Achrafieh, With Balcony, Open View, With Shared Pool and Gym, Exceptional location.  - Perfect Location - New Building - Easy Access Sale Price: 560,000$ + 2.5% Brokerage Fees - Payment in Cash or International Bank Transfer - Remaining Finishing Works to be Completed by the Buyer.   Unit Features: . Living, Dining, Balcony, Open View . 3 Bedrooms including 1 Master . Closed Kitchen, Maids Room With WC . 4 Bathrooms  Features: . Central AC . Elevator . Concierge 24/7 . Electricity 24/7 . Video Intercom . Generator . Shared Pool and Gym  Facilities: . 2 Underground Parking Spots  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now on our Number. Reference M022 560,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Shared Pool', 'Security', 'Concierge', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', 'Storage Room', 'Terrace']",2551.0,Lebanon,Achrafieh,Beirut ,219.5217561740494,137,787,6,47,22,181,1,1,1,1,0,2,0,0,12
Fully Furnished New Modern ApartmentlNew Building,565000.0,Apartment,3.0,4.0,"Badaro, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M073/apartment-for-sale-badaro-lebanon-MRE-M073,"180sqm Spacious Fully Furnished Modern Apartment for Sale Badaro With Open View.  New Building - Easy Access - Prime Area Sale Price: 565,000$ + 2.5% Brokerage Fees.   Unit Features: . Living, Dining, . 3 Bedrooms including 2 Master . Fully Equipped Kitchen, Maids Room With WC . 4 Bathrooms  Features: . AC . Elevator . Generator . Concierge  Facilities: . 2 Parking Spots  For more info or to schedule a visit, do not hesitate to call or WhatsApp us now . Reference M073 565,000 USD Save Share","['Maids Room', 'Central A/C', 'Security', 'Concierge', 'Covered Parking', 'Kitchen Appliances', 'View of Landmark', 'Lobby in Building', 'Storage Room', 'City View', 'Near Public transportation', 'Near restaurants']",1938.0,Lebanon,Badaro,Beirut ,291.5376676986584,87,495,6,49,25,215,1,1,0,0,2,0,0,0,12
Shared Pool and Gym|Gated Community|Open View,650000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M079/apartment-for-sale-achrafieh-lebanon-MRE-M079,"225sqm Spacious Apartment for Sale Achrafieh, With an Open View, Pool & Gym.  Gated Community-New Building - Easy Access- Sale Price: 650,000 + 2.5% Brokerage Fees.   Unit Features: . Reception, Living, Dining, Closed Balcony . 3 Bedrooms including 1 Master . TV Room in Between . Fully Equipped Kitchen, Maids Room With WC . 4 Bathrooms  Features: . AC, . Elevators . Generator . Concierge 24/7 . Security 24/7 . Electricity 24/7 . Indoor Activities  Facilities: . 2 Underground Parking Spots . Storage Room  For more info or to schedule a visit, do not hesitate to call or WhatsApp us now. Reference M079 650,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Shared Pool', 'Security', 'Concierge', 'Covered Parking', 'Kitchen Appliances', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool"", ""Children's Play Area"", 'Storage Room', 'City View']",2422.0,Lebanon,Achrafieh,Beirut ,268.37324525185795,107,629,6,45,30,248,1,1,1,1,2,1,0,0,15
4 Bedrooms ApartmentlHuge TerracelPanoramic View,510000.0,Apartment,4.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M210/apartment-for-sale-achrafieh-lebanon-MRE-M210,"300sqm New Modern Apartment for Sale Achrafieh with 3 Balconies and a Huge Terrace and Unobstructed Panoramic View. Perfect Location - New Building - Easy Access Sale Price: 510,000 +2.5% Brokerage Fees.  Unit Features: . Salon, Living, Dining, 3 Balconies and a Huge Terrace . 4 Bedrooms including 2 Master . Kitchen, Maids Room With WC . 5 Bathrooms  Features: . AC (installion) . 2 Elevators . Concierge  Facilities: . 3 Parking Spots . Storage Room  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now. Reference M210 510,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'View of Landmark', 'Lobby in Building', 'Storage Room', 'Terrace', 'City View']",3229.0,Lebanon,Achrafieh,Beirut ,157.94363580055744,102,590,5,48,20,165,1,1,0,0,0,2,0,0,11
Mar MichaellModern DuplexlLarge TerracelOpen Sea View,695000.0,Apartment,3.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M122/apartment-for-sale-achrafieh-lebanon-MRE-M122,"232sqm High End Duplex in a Modern building for Sale in Achrafieh, Mar Michael With 85sqm Large Terrace, and Open Sea View, Exceptional location.  - Perfect Location - New Building - Easy Access Sale Price: 695,000$ + 2.5% Brokerage Fees - Payment in Cash or International Bank Transfer  Unit Features: . Living, Dining, Large Terrace . 3 Bedrooms  .  Kitchen, Maids Room With WC . 5 Bathrooms  Features: . AC, Heating System . Elevators,  . Concierge 24/7 . CCTV Security Cameras . Electricity 24/7 . Video Intercom . Fire System . Generator . Professional Property Management  Facilities: . 2 Parking Spots . Storage Room  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now on our Number. Reference M122 695,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'View of Landmark', ""Children's Play Area"", 'Storage Room', 'Terrace', 'Near Public transportation', 'Near restaurants']",2497.0,Lebanon,Achrafieh,Beirut ,278.3340008009612,133,775,6,53,23,205,1,1,0,0,0,2,0,0,12
Mar MichaellModern DuplexlLarge TerracelOpen Sea View,695000.0,Apartment,3.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M122/apartment-for-sale-achrafieh-lebanon-MRE-M122,"232sqm High End Duplex in a Modern building for Sale in Achrafieh, Mar Michael With 85sqm Large Terrace, and Open Sea View, Exceptional location.  - Perfect Location - New Building - Easy Access Sale Price: 695,000$ + 2.5% Brokerage Fees - Payment in Cash or International Bank Transfer  Unit Features: . Living, Dining, Large Terrace . 3 Bedrooms  .  Kitchen, Maids Room With WC . 5 Bathrooms  Features: . AC, Heating System . Elevators,  . Concierge 24/7 . CCTV Security Cameras . Electricity 24/7 . Video Intercom . Fire System . Generator . Professional Property Management  Facilities: . 2 Parking Spots . Storage Room  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now on our Number. Reference M122 695,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'View of Landmark', ""Children's Play Area"", 'Storage Room', 'Terrace', 'Near Public transportation', 'Near restaurants']",2497.0,Lebanon,Achrafieh,Beirut ,278.3340008009612,133,775,6,53,23,205,1,1,0,0,0,2,0,0,12
Mar MichaellModern DuplexlLarge TerracelOpen Sea View,695000.0,Apartment,3.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M122/apartment-for-sale-achrafieh-lebanon-MRE-M122,"232sqm High End Duplex in a Modern building for Sale in Achrafieh, Mar Michael With 85sqm Large Terrace, and Open Sea View, Exceptional location.  - Perfect Location - New Building - Easy Access Sale Price: 695,000$ + 2.5% Brokerage Fees - Payment in Cash or International Bank Transfer  Unit Features: . Living, Dining, Large Terrace . 3 Bedrooms  .  Kitchen, Maids Room With WC . 5 Bathrooms  Features: . AC, Heating System . Elevators,  . Concierge 24/7 . CCTV Security Cameras . Electricity 24/7 . Video Intercom . Fire System . Generator . Professional Property Management  Facilities: . 2 Parking Spots . Storage Room  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now on our Number. Reference M122 695,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'View of Landmark', ""Children's Play Area"", 'Storage Room', 'Terrace', 'Near Public transportation', 'Near restaurants']",2497.0,Lebanon,Achrafieh,Beirut ,278.3340008009612,133,775,6,53,23,205,1,1,0,0,0,2,0,0,12
Mar MichaellModern DuplexlLarge TerracelOpen Sea View,695000.0,Apartment,3.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M122/apartment-for-sale-achrafieh-lebanon-MRE-M122,"232sqm High End Duplex in a Modern building for Sale in Achrafieh, Mar Michael With 85sqm Large Terrace, and Open Sea View, Exceptional location.  - Perfect Location - New Building - Easy Access Sale Price: 695,000$ + 2.5% Brokerage Fees - Payment in Cash or International Bank Transfer  Unit Features: . Living, Dining, Large Terrace . 3 Bedrooms  .  Kitchen, Maids Room With WC . 5 Bathrooms  Features: . AC, Heating System . Elevators,  . Concierge 24/7 . CCTV Security Cameras . Electricity 24/7 . Video Intercom . Fire System . Generator . Professional Property Management  Facilities: . 2 Parking Spots . Storage Room  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now on our Number. Reference M122 695,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'View of Landmark', ""Children's Play Area"", 'Storage Room', 'Terrace', 'Near Public transportation', 'Near restaurants']",2497.0,Lebanon,Achrafieh,Beirut ,278.3340008009612,133,775,6,53,23,205,1,1,0,0,0,2,0,0,12
SodecolFully Decorated 3 Bedrooms Apartment,360000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/MRE-M216/apartment-for-sale-achrafieh-lebanon-MRE-M216,"160sqm Fully Decorated Modern Apartment for Sale Achrafieh, Sodeco. Prime Location - New Building- Easy Access Sale Price: 360,000$ + 2.5% Brokerage Fees.  Unit Features: . Salon, Living, Dining, . 3 Bedrooms including 1 Master . Kitchen, Helper's Room With WC . 4 Bathrooms  Features: . AC, . Elevator . 2 Generators . Concierge . Electricity 24/7 . Artesian Well  Facilities: . 1 Underground Parking Spot  For more info or to schedule a visit to the apartment, do not hesitate to call or WhatsApp us now on our Number We will always do our Best to fit your Demand . Reference M216 360,000 USD Save Share","['Maids Room', 'Central A/C', 'Shared Pool', 'Concierge', 'Covered Parking', 'Kitchen Appliances', 'Lobby in Building']",1722.0,Lebanon,Achrafieh,Beirut ,209.05923344947735,106,605,5,43,14,119,0,1,1,0,2,0,0,0,7
High End | 170 Sqm | Apartment For Sale In Verdun,645000.0,Apartment,2.0,3.0,"Verdun, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/ML-16237/apartment-for-sale-verdun-lebanon-ML-16237,"High End Apartment For Sale In Verdun Easy Access - Prime Location  Space:  170 sqm   Unit Features:  •	2 Bedrooms - 1 Master               •	3 Bathrooms •	Living Room •	Dining Room •	⁠TV Room •	Closed Kitchen                     Features:  •	24/7 Elevator •	⁠24/7 Electricity •	2 Generator for Building •	⁠24/7 Water •	Full Time Concierge  Facilities:  •	2 Underground Parking                                                                                                                                        Sale Price: 645,000$ +2.5% brokerage fees  - Reference #B17 - Reference B17 645,000 USD Save Share","['Central A/C', 'Near restaurants', 'Concierge', 'Covered Parking', 'Near Public transportation']",1830.0,Lebanon,Verdun,Beirut ,352.4590163934426,78,611,11,49,10,97,0,1,0,0,0,0,0,0,5
