title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,amenities_old,desc_nlp,title_nlp,city
Modern House,4.0,5.0,2045,"Hiwa City, Erbil",https://homele.com/properties/modern-house-77398,"House For Sale, located in Erbil, Hiwa City, with an area of 190m, the price is $210,000 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 5 Bathrooms - Floor number: 2",[],House,210000,IRAQ,[],house sale located erbil hiwa city area 190m price 210 000 negotiable consists 4 bedroom 2 kitchen 1 living room 2 hall 5 bathroom floor number 2,modern house,Erbil
Duplex Apartment,3.0,2.0,2540,"Tulip Towers, Erbil",https://homele.com/properties/duplex-apartment-82771,"Apartment For Sale, located in Erbil, Tulip Towers, with an area of 236m, the price is $278,980. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 27","['pool', 'parking', 'air_conditioning', 'balcony']",Apartment,278980,IRAQ,"['Balcony', 'Parking Spaces', 'Swimming Pool', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows']",apartment sale located erbil tulip tower area 236m price 278 980 consists 3 bedroom 1 kitchen 1 hall 2 bathroom floor number 27,duplex apartment,Erbil
"Spacious Family Home, Prime Location",5.0,4.0,3229,"Brayaty, Erbil",https://homele.com/properties/spacious-family-home-prime-location-82768,"House For Sale, located in Erbil, Brayaty, with an area of 300m, the price is $410,000 (Negotiable). Consists of: - 5 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 4 Bathrooms - Floor number: 2","['kitchen', 'electricity', 'balcony']",House,410000,IRAQ,"['Balcony', 'Double Glazed Windows', 'Furnished Kitchen', '24hr Electricity', 'Internet', 'Green Area']",house sale located erbil brayaty area 300m price 410 000 negotiable consists 5 bedroom 2 kitchen 1 living room 2 hall 4 bathroom floor number 2,spacious family home prime location,Erbil
Cozy House with 2 Bedrooms,2.0,2.0,1076,"Bayah, Baghdad",https://homele.com/properties/cozy-house-with-2-bedrooms-82764,"Code: 1229 House For Sale, located in Baghdad, Bayah, with an area of 100m, the price is IQD 160,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 1",['parking'],House,112835,IRAQ,"['Parking Spaces', 'Electricity Generator', 'Internet', 'Green Area', 'Market', 'Shop']",code 1229 house sale located baghdad bayah area 100m price iqd 160 000 000 consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 1,cozy house 2 bedroom,Baghdad
Modern Apartment with 1 Bedroom in Erbil,1.0,1.0,990,"Green World, Erbil",https://homele.com/properties/modern-apartment-with-1-bedroom-in-erbil-82053,"Apartment For Sale, located in Erbil, Green World, with an area of 92m, the price is $73,000 (Negotiable). Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 6",[],Apartment,73000,IRAQ,[],apartment sale located erbil green world area 92m price 73 000 negotiable consists 1 bedroom 1 kitchen 1 hall 1 bathroom floor number 6,modern apartment 1 bedroom erbil,Erbil
"Commercial Building in Bayah, Baghdad",3.0,2.0,2325,"Bayah, Baghdad",https://homele.com/properties/commercial-building-in-bayah-baghdad-82758,"Code: 1234 Commercial Building For Sale, located in Baghdad, Bayah, with an area of 216m, the price is IQD 850,000,000. Consists of: - Floor number: 2","['parking', 'mosque', 'school']",Commercial Building,130000,IRAQ,"['Parking Spaces', 'Internet', 'Green Area', 'Market', 'School', 'Mosque']",code 1234 commercial building sale located baghdad bayah area 216m price iqd 850 000 000 consists floor number 2,commercial building bayah baghdad,Baghdad
External View Apartment,3.0,2.0,2281,"Vana Towers, Erbil",https://homele.com/properties/external-view-apartment-82756,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 212m, the price is $156,880. - External View Apartment - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['parking', 'air_conditioning', 'security']",Apartment,156880,IRAQ,"['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil vana tower area 212m price 156 880 external view apartment building consists 3 bedroom 1 kitchen 1 hall 2 bathroom,external view apartment,Erbil
"Commercial Building in Baghdad, Bayah",3.0,2.0,2755,"Bayah, Baghdad",https://homele.com/properties/commercial-building-in-baghdad-bayah-82753,"Code: 1235 Commercial Building For Sale, located in Baghdad, Bayah, with an area of 256m, the price is IQD 1,200,000,000. Consists of: - Floor number: 2","['parking', 'school', 'reception']",Commercial Building,130000,IRAQ,"['Parking Spaces', 'Reception', 'Internet', 'Green Area', 'Market', 'School']",code 1235 commercial building sale located baghdad bayah area 256m price iqd 1 200 000 000 consists floor number 2,commercial building baghdad bayah,Baghdad
Corner Residential Plot,3.0,2.0,3498,"Bayah, Baghdad",https://homele.com/properties/corner-residential-plot-82751,"Code: 1236 Residential Plot For Sale, located in Baghdad, Bayah, with an area of 325m, the price is IQD 640,000,000.","['sports_recreation', 'mosque', 'school']",Residential Plot,451341,IRAQ,"['Internet', 'Playground', 'Green Area', 'Shop', 'School', 'Mosque']",code 1236 residential plot sale located baghdad bayah area 325m price iqd 640 000 000,corner residential plot,Baghdad
"Spacious house in Al Jihad, Baghdad",2.0,2.0,3229,"Al Jihad, Baghdad",https://homele.com/properties/spacious-house-in-al-jihad-baghdad-82749,"Code: 1237 House For Sale, located in Baghdad, Al Jihad, with an area of 300m, the price is IQD 900,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 1","['sports_recreation', 'mosque', 'school', 'restaurant']",House,130000,IRAQ,"['Internet', 'Playground', 'Green Area', 'School', 'Mosque', 'Restaurant']",code 1237 house sale located baghdad al jihad area 300m price iqd 900 000 000 consists 2 bedroom 1 kitchen 1 living room 1 hall 2 bathroom floor number 1,spacious house al jihad baghdad,Baghdad
Residential Plot in Al Harithiyah,3.0,2.0,1937,"Al Harithiyah, Baghdad",https://homele.com/properties/residential-plot-in-al-harithiyah-82748,"Code: 1250 Residential Plot For Sale, located in Baghdad, Al Harithiyah, with an area of 180m, the price is IQD 1,080,000,000.","['parking', 'security', 'school', 'reception']",Residential Plot,130000,IRAQ,"['Parking Spaces', 'CCTV Security', 'Reception', 'Internet', 'Green Area', 'School']",code 1250 residential plot sale located baghdad al harithiyah area 180m price iqd 1 080 000 000,residential plot al harithiyah,Baghdad
Modern Villa,8.0,10.0,1980,"Aram Village 2, Erbil",https://homele.com/properties/modern-villa-82741,"House For Sale, located in Erbil, Aram Village 2, with an area of 1100m, the price is $1,300,000 (Negotiable). Consists of: - 8 Bedrooms - 3 Kitchens - 3 Living Rooms - 2 Halls - 10 Bathrooms - Floor number: 2","['pool', 'security', 'sports_recreation', 'balcony']",House,130000,IRAQ,"['Balcony', 'Swimming Pool', 'Sauna', 'Central Heating', 'Double Glazed Windows', 'Security Staff']",house sale located erbil aram village 2 area 1100m price 1 300 000 negotiable consists 8 bedroom 3 kitchen 3 living room 2 hall 10 bathroom floor number 2,modern villa,Erbil
Cozy 3-Bedroom House in Bayah,3.0,2.0,1345,"Bayah, Baghdad",https://homele.com/properties/cozy-3-bedroom-house-in-bayah-82747,"Code:1253 House For Sale, located in Baghdad, Bayah, with an area of 125m, the price is IQD 325,000,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 2","['parking', 'balcony', 'mosque', 'school']",House,229197,IRAQ,"['Balcony', 'Parking Spaces', 'Internet', 'Green Area', 'School', 'Mosque']",code 1253 house sale located baghdad bayah area 125m price iqd 325 000 000 consists 3 bedroom 1 kitchen 1 hall 2 bathroom floor number 2,cozy 3 bedroom house bayah,Baghdad
commercial property in shaqlawa for sale,3.0,2.0,1657,"Naw Bakhchan, Shaqlawa",https://homele.com/properties/commercial-property-in-shaqlawa-for-sale-82746,"Commercial Property For Sale, located in Shaqlawa, Naw Bakhchan, near shaqlawa bazar, with an area of 154m, the price is $85,000 (Negotiable).",[],Commercial Property,85000,IRAQ,[],commercial property sale located shaqlawa naw bakhchan near shaqlawa bazar area 154m price 85 000 negotiable,commercial property shaqlawa sale,Shaqlawa
Modern Apartment in Prime Location,3.0,2.0,2368,"Qaiwan Heights, Sulaymaniyah",https://homele.com/properties/modern-apartment-in-prime-location-82790,"Apartment For Sale, located in Sulaymaniyah, Qaiwan Heights, with an area of 220m, the price is $150,000. - Building a3 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 12","['parking', 'security', 'electricity', 'balcony']",Apartment,150000,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Sewerage System', '24hr Electricity']",apartment sale located sulaymaniyah qaiwan height area 220m price 150 000 building a3 consists 3 bedroom 1 kitchen 1 living room 1 hall 2 bathroom floor number 12,modern apartment prime location,Sulaymaniyah
Spacious 2 Bedroom Apartment in Karada,2.0,2.0,1076,"Karada, Baghdad",https://homele.com/properties/spacious-2-bedroom-apartment-in-karada-82708,"Code: 1210 Apartment For Sale, located in Baghdad, Karada, with an area of 100m, the price is IQD 230,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 8","['parking', 'sports_recreation', 'reception']",Apartment,162201,IRAQ,"['Parking Spaces', 'Reception', 'Internet', 'Playground', 'Green Area', 'Market']",code 1210 apartment sale located baghdad karada area 100m price iqd 230 000 000 consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 8,spacious 2 bedroom apartment karada,Baghdad
Building with Furnished Apartments in Mansour,4.0,4.0,516,"Mansour, Baghdad",https://homele.com/properties/building-with-furnished-apartments-in-mansour-82744,"Furnished Residential Building For Sale, located in Baghdad, Mansour, with an area of 48m, the price is IQD 550,000,000. Consists of: - 4 Apartments : First 3 Apartments (1+1) - Fourth Apartment only consists of 1 Kitchen - Floor number: 4","['parking', 'electricity', 'balcony', 'school']",Residential Building,38361,IRAQ,"['Balcony', 'Parking Spaces', '24hr Electricity', 'Internet', 'Shop', 'School']",furnished residential building sale located baghdad mansour area 48m price iqd 550 000 000 consists 4 apartment first 3 apartment 1 1 fourth apartment consists 1 kitchen floor number 4,building furnished apartment mansour,Baghdad
