title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,amenities_old,desc_nlp,title_nlp,city,description_word_count,title_word_count,num_amenities,amenity_sports_recreation,amenity_water_supply,amenity_library,amenity_mosque,amenity_office,amenity_electricity,amenity_basement,amenity_fireplace,amenity_pool,amenity_restaurant,amenity_balcony,amenity_maintenance,amenity_security,amenity_parking,amenity_reception,amenity_air_conditioning,amenity_school,amenity_kitchen,amenity_pets,kw_offer,kw_plan,kw_tourism,kw_commercial,kw_complex,kw_furnished,kw_building,kw_city,kw_floor,kw_hall,kw_kitchen,kw_located,kw_negotiable,kw_payment,kw_residential,kw_sale,kw_tower,kw_village,rooms_total,is_large_property,city_LE,total_rooms,area_per_room,bed_bath_ratio,is_family_sized,is_studio_flag,has_view,is_furnished,is_renovated,unique_word_count,avg_word_len
Spacious 4-Bedroom Apartment in Spanish Village 2,4.0,4.0,3444,"Spanish Village 2, Erbil",https://homele.com/properties/spacious-4-bedroom-apartment-in-spanish-village-2-83428,"Apartment For Sale, located in Erbil, Spanish Village 2, with an area of 320m, the price is $387,500. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],Apartment,387500,IRAQ,[],apartment sale located erbil spanish village 2 area 320m price 387 500 consists 4 bedroom 1 kitchen 1 living room 1 hall 4 bathroom,spacious 4 bedroom apartment spanish village 2,Erbil,36,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1,2,8.0,430.5,0.8,1,0,0,0,0,21,4.5
Modern 1 Room Apartment for Sale,1.0,1.0,699,"Atlantic City, Erbil",https://homele.com/properties/modern-1-room-apartment-for-sale-83432,"Apartment For Sale, located in Erbil, Atlantic City, with an area of 65m, the price is $41,000. - Building 22 Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: G","['parking', 'security', 'sports_recreation']",Apartment,41000,IRAQ,"['Parking Spaces', 'Security Staff', 'Playground', 'Market', 'Elevator', 'Medical Center']",apartment sale located erbil atlantic city area 65m price 41 000 building 22 consists 1 bedroom 1 kitchen 1 living room 1 bathroom floor number g,modern 1 room apartment sale,Erbil,39,6,44,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,2,2.0,349.5,0.5,0,1,0,0,0,23,4.615384615384615
Desirable Residential Plot in Erbil,3.0,2.0,3229,"Baghlumnara, Erbil",https://homele.com/properties/desirable-residential-plot-in-erbil-83413,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 300m, the price is $81,000.",[],Residential Plot,81000,IRAQ,[],residential plot sale located erbil baghlumnara area 300m price 81 000,desirable residential plot erbil,Erbil,17,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1,2,5.0,645.8,1.0,1,0,0,0,0,11,5.454545454545454
Cozy Apartment for Rent in Erbil,3.0,1.0,861,"Rami Towers, Erbil",https://homele.com/properties/cozy-apartment-for-rent-in-erbil-83422,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 80m, the price is $56,000. Consists of: - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 20",[],Apartment,56000,IRAQ,[],apartment sale located erbil ramus tower area 80m price 56 000 consists 1 kitchen 1 hall 1 bathroom floor number 20,cozy apartment rent erbil,Erbil,32,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,215.25,1.5,1,0,0,0,0,19,4.523809523809524
Modern Studio in Prime Location,3.0,1.0,1345,"Rami Towers, Erbil",https://homele.com/properties/modern-studio-in-prime-location-83399,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 125m, the price is $75,000. Consists of: - Studio - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 11","['parking', 'security', 'electricity', 'balcony']",Apartment,75000,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",apartment sale located erbil ramus tower area 125m price 75 000 consists studio 1 kitchen 1 hall 1 bathroom floor number 11,modern studio prime location,Erbil,34,5,49,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,336.25,1.5,1,0,0,0,0,20,4.636363636363637
Spacious 2BR Apartment in Empire Wings,2.0,2.0,1345,"Empire Wings, Erbil",https://homele.com/properties/spacious-2br-apartment-in-empire-wings-83398,"Apartment For Sale, located in Erbil, Empire Wings, with an area of 125m, the price is $150,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 29","['parking', 'security', 'electricity', 'balcony']",Apartment,150000,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",apartment sale located erbil empire wing area 125m price 150 000 negotiable consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 29,spacious 2br apartment empire wing,Erbil,36,6,49,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0,2,4.0,336.25,0.6666666666666666,0,0,0,0,0,22,4.791666666666667
VIP Apartment,2.0,2.0,1248,"Life Towers, Erbil",https://homele.com/properties/vip-apartment-83429,"Furnished Apartment For Sale, located in Erbil, Life Towers, with an area of 116m, the price is $88,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 16",[],Apartment,88000,IRAQ,[],furnished apartment sale located erbil life tower area 116m price 88 000 negotiable consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 16,vip apartment,Erbil,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,312.0,0.6666666666666666,0,0,0,1,0,23,4.88
Well-Located 1BR Apartment in Erbil,1.0,1.0,1044,"Boulevard, Erbil",https://homele.com/properties/well-located-1br-apartment-in-erbil-74211,"Apartment For Sale, located in Erbil, Boulevard, with an area of 97m, the price is $102,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 2","['parking', 'security', 'balcony']",Apartment,102500,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",apartment sale located erbil boulevard area 97m price 102 500 consists 1 bedroom 1 kitchen 1 hall 1 bathroom floor number 2,well located 1br apartment erbil,Erbil,34,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,2,2.0,522.0,0.5,0,1,0,0,0,19,4.636363636363637
Spacious Furnished Apartment in Sulaymaniyah,3.0,2.0,1614,"Shari Pzishkan, Sulaymaniyah",https://homele.com/properties/spacious-furnished-apartment-in-sulaymaniyah-82859,"Furnished Apartment For Sale, located in Sulaymaniyah, Shari Pzishkan, with an area of 150m, the price is $80,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 9","['parking', 'balcony']",Apartment,80000,IRAQ,"['Balcony', 'Parking Spaces', 'Electricity Generator', 'Central Heating', 'Double Glazed Windows', 'Storage Space']",furnished apartment sale located sulaymaniyah shari pzishkan area 150m price 80 000 consists 3 bedroom 1 kitchen 1 living room 2 bathroom floor number 9,spacious furnished apartment sulaymaniyah,Sulaymaniyah,37,5,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0,8,5.0,322.8,1.0,1,0,0,1,0,24,5.12
Corner Apartment,2.0,2.0,1937,"Vana Towers, Erbil",https://homele.com/properties/corner-apartment-82690,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 180m, the price is $135,000. - Internal View Apartment - Building C Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['parking', 'air_conditioning', 'security']",Apartment,135000,IRAQ,"['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil vana tower area 180m price 135 000 internal view apartment building c consists 2 bedroom 1 kitchen 1 hall 2 bathroom,corner apartment,Erbil,38,2,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,484.25,0.6666666666666666,0,0,1,0,0,22,4.84
Luxurious Apartment with 2 Bedrooms,2.0,2.0,2163,"Swiss Compound, Baghdad",https://homele.com/properties/luxurious-apartment-with-2-bedrooms-82095,"Apartment For Sale, located in Baghdad, Swiss Compound, with an area of 201m, the down payment price is $22,914. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['parking', 'air_conditioning', 'balcony']",Apartment,286425,IRAQ,"['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Satellite/Cable TV']",apartment sale located baghdad swiss compound area 201m payment price 22 914 consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 18,luxurious apartment 2 bedroom,Baghdad,37,5,42,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1,0,4.0,540.75,0.6666666666666666,0,0,0,0,0,22,4.833333333333333
Spacious Family Home in Kirkuk,4.0,2.0,2152,"Spanish Village, Kirkuk",https://homele.com/properties/spacious-family-home-in-kirkuk-82866,"Normal House For Sale, located in Kirkuk, Spanish Village, with an area of 200m, the price is IQD 200,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['electricity', 'balcony']",House,141044,IRAQ,"['Balcony', 'Double Glazed Windows', 'Storage Space', '24hr Electricity', 'Internet', 'Green Area']",normal house sale located kirkuk spanish village area 200m price iqd 200 000 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,spacious family home kirkuk,Kirkuk,37,5,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1,4,6.0,358.6666666666667,1.3333333333333333,1,0,0,0,0,23,4.461538461538462
Apartment with 4 Bedrooms,4.0,4.0,2960,"Downtown, Baghdad",https://homele.com/properties/apartment-with-4-bedrooms-80544,"Apartment For Sale, located in Baghdad, Downtown, with an area of 275m, the price is IQD 591,250,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 4 Bathrooms","['parking', 'air_conditioning', 'balcony']",Apartment,416961,IRAQ,"['Balcony', 'Parking Spaces', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows', 'Satellite/Cable TV']",apartment sale located baghdad downtown area 275m price iqd 591 250 000 consists 4 bedroom 1 kitchen 1 hall 4 bathroom,apartment 4 bedroom,Baghdad,31,4,42,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1,0,8.0,370.0,0.8,1,0,0,0,0,19,4.666666666666667
Apartment in Installment,2.0,2.0,1689,"English Tower, Erbil",https://homele.com/properties/apartment-in-installment-71085,"Apartment For Sale, located in Erbil, English Tower, with an area of 157m, the price is $167,990. - Building A5 Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 3","['parking', 'security', 'balcony']",Apartment,167990,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil english tower area 157m price 167 990 building a5 consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 3,apartment installment,Erbil,38,3,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,422.25,0.6666666666666666,0,0,0,0,0,23,4.64
Family Home with 4 Bedrooms,4.0,2.0,2152,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/family-home-with-4-bedrooms-76079,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m, the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['security', 'electricity', 'balcony']",House,126940,IRAQ,"['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",house sale located kirkuk louloua residential compound area 200m price iqd 180 000 000 type consists 4 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,family home 4 bedroom,Kirkuk,40,5,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1,4,6.0,358.6666666666667,1.3333333333333333,1,0,0,0,0,24,4.666666666666667
Modern Apartment For Sale,2.0,1.0,1614,"Buruj Residential Complex, Baghdad",https://homele.com/properties/modern-apartment-for-sale-68998,"Apartment For Sale, located in Baghdad, Buruj Residential Complex, with an area of 149.98m, the price is $272,964. - Building Laguna D Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 1 Bathroom","['air_conditioning', 'security', 'balcony']",Apartment,272964,IRAQ,"['Balcony', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",apartment sale located baghdad buruj residential complex area 149 98m price 272 964 building laguna consists 2 bedroom 1 kitchen 1 hall 1 bathroom,modern apartment sale,Baghdad,36,4,43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0,0,3.0,538.0,1.0,0,0,0,0,0,22,5.125
Luxury 4 Bedroom Apartment,4.0,3.0,2098,"Emperor Hills Complex, Baghdad",https://homele.com/properties/luxury-4-bedroom-apartment-71733,"University Teachers Offers: * The Down Payment has been increased to 19,012,500 IQD (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 195m, the price is IQD 380,250,000. - Building B4 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 7","['parking', 'security', 'balcony']",Apartment,268160,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",university teacher offer payment increased 19 012 500 iqd 5 information offer please contact sale center apartment sale located baghdad emperor hill complex area 195m price iqd 380 250 000 building b4 consists 4 bedroom 1 kitchen 1 hall 3 bathroom floor number 7,luxury 4 bedroom apartment,Baghdad,64,4,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1,0,7.0,299.7142857142857,1.0,1,0,0,0,0,40,4.9772727272727275
Modern Apartment with 2 Bedrooms,2.0,2.0,1797,"Alaska Towers, Erbil",https://homele.com/properties/modern-apartment-with-2-bedrooms-73342,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 167m, the price is $128,860. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 13","['parking', 'security', 'balcony']",Apartment,128860,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil alaska tower area 167m price 128 860 consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 13,modern apartment 2 bedroom,Erbil,35,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,449.25,0.6666666666666666,0,0,0,0,0,21,4.608695652173913
