title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,price_per_sqft,description_word_count,description_char_count,title_word_count,title_char_count,amenities_word_count,amenities_char_count,has_security_amenities,has_parking_amenities,has_pool_amenities,has_gym_amenities,has_kitchen_amenities,has_outdoor_amenities,has_luxury_amenities,has_utilities_amenities,total_amenities
Luxury 4 Bedroom Apartment,4.0,3.0,2098.96,"Emperor Hills Complex, Baghdad",https://homele.com/properties/luxury-4-bedroom-apartment-71733,"University Teachers Offers: * The Down Payment has been increased to 19,012,500 IQD (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 195m², the price is IQD 380,250,000. - Building B4 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 7","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,268160.0,Iraq,127.75850897587377,64,365,4,26,12,108,2,1,1,0,0,1,0,0,6
Modern Apartment with 2 Bedrooms,2.0,2.0,1797.57,"Alaska Towers, Erbil",https://homele.com/properties/modern-apartment-with-2-bedrooms-73342,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 167m², the price is $128,860. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 13","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,128860.0,Iraq,71.68566453601251,35,178,5,32,12,108,2,1,1,0,0,1,0,0,6
Apartment in Installment,2.0,2.0,1636.11,"Wais Tower, Sulaymaniyah",https://homele.com/properties/apartment-in-installment-65320,"Apartment For Sale, located in Sulaymaniyah, Wais Tower, with an area of 152.2m², the price is $106,400. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows', 'CCTV Security', 'Waste Disposal']",Apartment,106400.0,Iraq,65.03230222906774,31,165,3,24,12,123,2,0,0,0,0,1,0,1,6
Apartment (223m²),3.0,3.0,2400.35,"London Towers, Erbil",https://homele.com/properties/apartment-223m2-65577,"Apartment For Sale, located in Erbil, London Towers, with an area of 223m², the price is $220,770. - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms","['Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Security Staff', '24hr Electricity', 'Playground']",Apartment,220770.0,Iraq,91.97408711229613,34,172,2,17,12,123,1,0,0,0,0,0,0,1,6
Apartment (206m²),3.0,2.0,2217.36,"Pak Towers, Sulaymaniyah",https://homele.com/properties/apartment-206m2-65674,"Apartment For Sale, located in Sulaymaniyah, Pak Towers, with an area of 206m², the price is $185,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Storage Space']",Apartment,185000.0,Iraq,83.43255042031966,31,163,2,17,12,117,0,1,1,0,0,1,0,0,6
"Building A5, 17th floor, No.10",2.0,2.0,1506.95,"Asco International City, Erbil",https://homele.com/properties/building-a5-17th-floor-no10-66300,"Apartment For Sale, located in Erbil, Asco International City, with an area of 140m², the price is $116,200. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 17","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'Satellite/Cable TV']",Apartment,116200.0,Iraq,77.10939314509439,36,188,5,30,12,120,0,1,1,0,0,1,0,1,6
Corner Apartment,1.0,1.0,968.75,"Ganjan Life, Erbil",https://homele.com/properties/corner-apartment-83403,"Apartment For Sale, located in Erbil, Ganjan Life, with an area of 90m², the price is $65,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 14",[],Apartment,65000.0,Iraq,67.09677419354838,35,172,2,16,1,2,0,0,0,0,0,0,0,0,0
Apartment (181m²),3.0,2.0,1948.27,"Royal City, Sulaymaniyah",https://homele.com/properties/apartment-181m2-65378,"Apartment For Sale, located in Sulaymaniyah, Royal City, with an area of 181m², the price is $101,360. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'Storage Space', 'Satellite/Cable TV', 'CCTV Security']",Apartment,101360.0,Iraq,52.02564326299743,31,163,2,17,13,118,2,1,1,0,0,0,0,1,6
Residential Plot (300m²),3.0,2.0,3229.17,"Baghlumnara, Erbil",https://homele.com/properties/residential-plot-300m2-83414,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 300m², the price is $92,500.",[],Residential Plot,92500.0,Iraq,28.645131721154353,17,102,3,24,1,2,0,0,0,0,0,0,0,0,0
Modern Family Home in Erbil,4.0,2.0,2475.7,"Hiwa City, Erbil",https://homele.com/properties/modern-family-home-in-erbil-83389,"House For Sale, located in Erbil, Hiwa City, with an area of 230m², the price is $210,000 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 2",[],House,210000.0,Iraq,84.82449408248173,40,199,5,27,1,2,0,0,0,0,0,0,0,0,0
3 Bedroom Apartment in Sulaymaniyah,3.0,2.0,2055.9,"Infinity Towers, Sulaymaniyah",https://homele.com/properties/3-bedroom-apartment-in-sulaymaniyah-66135,"Apartment For Sale, located in Sulaymaniyah, Infinity Towers, with an area of 191m², the price is $155,000. - Type A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 11","['Balcony', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,155000.0,Iraq,75.39277202198551,38,196,5,35,12,107,2,0,1,0,0,1,0,0,6
Spacious 2-Bedroom Apartment in Siraj Towers,2.0,2.0,1442.36,"Siraj Towers, Erbil",https://homele.com/properties/spacious-2-bedroom-apartment-in-siraj-towers-83396,"Apartment For Sale, located in Erbil, Siraj Towers, with an area of 134m², the price is $118,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,118000.0,Iraq,81.81036634404727,35,177,6,44,10,96,2,1,1,0,0,1,0,2,6
Apartment in Installment,1.0,1.0,1313.2,"Siraj Towers, Erbil",https://homele.com/properties/apartment-in-installment-83395,"Apartment For Sale, located in Erbil, Siraj Towers, with an area of 122m², the price is $102,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 16",[],Apartment,102000.0,Iraq,77.67286018885166,35,175,3,24,1,2,0,0,0,0,0,0,0,0,0
Two Floor House,4.0,3.0,1614.59,"Hiwa City, Erbil",https://homele.com/properties/two-floor-house-83388,"House For Sale, located in Erbil, Hiwa City, with an area of 150m², the price is $160,000 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 3 Bathrooms - Floor number: 2",[],House,160000.0,Iraq,99.09636502146056,40,199,3,15,1,2,0,0,0,0,0,0,0,0,0
House (No. 221),4.0,3.0,2583.34,"Crystal City, Kirkuk",https://homele.com/properties/house-no-221-68538,"House For Sale, located in Kirkuk, Crystal City, with an area of 200m², the price is IQD 225,000,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",House,158675.0,Iraq,61.422422135684805,40,197,3,15,12,108,2,1,1,0,0,1,0,0,6
Spacious Kirkuk House,4.0,2.0,2152.78,"Aram City 3, Kirkuk",https://homele.com/properties/spacious-kirkuk-house-58969,"House For Sale, located in Kirkuk, Aram City 3, with an area of 200m², the price is IQD 225,000,000. - A-184 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",House,158675.0,Iraq,73.70702068952703,39,185,3,21,12,108,2,1,1,0,0,1,0,0,6
House in Cash,4.0,2.0,1937.5,"Bawabat Kirkuk, Kirkuk",https://homele.com/properties/house-in-cash-58612,"House For Sale, located in Kirkuk, Bawabat Kirkuk, with an area of 180m², the price is IQD 162,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System', '24hr Electricity']",House,114246.0,Iraq,58.96567741935484,36,180,3,13,12,110,2,0,0,0,0,1,0,1,6
Apartment (111m²),3.0,1.0,1194.79,"Bardasur Heights, Kalar",https://homele.com/properties/apartment-111m2-64909,"Apartment For Sale, located in Kalar, Bardasur Height, with an area of 111m², the price is $63,000. - Corner, Sulaymanya & Rizgary view - Building A7 Payment plan: - Down payment $6,500 - After 6 months $5,000 - After 6 months $5,000 - Monthly Installment (for 24 months) $350 - Handover the key $7,500 - Monthly Installment $350 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom","['Balcony', 'Parking Spaces', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,63000.0,Iraq,52.72893144401945,73,396,2,17,11,100,2,1,1,0,0,1,0,0,6
House (240m²),5.0,4.0,2583.34,"Royal City, Kalar",https://homele.com/properties/house-240m2-58008,"House For Sale, located in Kalar, Royal City, with an area of 240m², the price is $202,000. Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms","['Balcony', 'Double Glazed Windows', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Internet']",House,202000.0,Iraq,78.19334659781522,35,168,2,13,11,105,1,0,0,0,0,1,0,2,6
House (Silver Offer),2.0,1.0,1937.5,"Jaff City, Kalar",https://homele.com/properties/house-silver-offer-58702,"House (Silver Offer with %7 discount) For Sale, located in Kalar, Jaff City, with an area of 180m², the price is $63,600. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 1 Bathroom","['Balcony', 'Double Glazed Windows', 'Security Staff', 'Waste Disposal', '24hr Electricity', 'Internet']",House,63600.0,Iraq,32.825806451612905,40,197,3,20,11,104,1,0,0,0,0,1,0,2,6
Corner House (198m²),2.0,1.0,2131.25,"Hiwa City, Kalar",https://homele.com/properties/corner-house-198m2-57352,"House For Sale, located in Kalar, Hiwa City, with an area of 198m², the price is $84,150. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom","['CCTV Security', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Playground', 'Green Area']",House,84150.0,Iraq,39.483870967741936,32,156,3,20,11,102,2,0,0,0,0,0,0,1,6
Corner House,2.0,2.0,1937.5,"Shari Shko, Kalar",https://homele.com/properties/corner-house-67620,"House (Diamond Offer) For Sale, located in Kalar, Shari Shko, with an area of 180m², the price is $58,500. - Type B Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms","['Parking Spaces', 'Double Glazed Windows', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Internet']",House,58500.0,Iraq,30.193548387096776,37,183,2,12,12,112,1,1,1,0,0,0,0,2,6
Apartment (6th floor),1.0,1.0,871.88,"Shari Sharan, Sulaymaniyah",https://homele.com/properties/apartment-6th-floor-58700,"Apartment For Sale, located in Sulaymaniyah, Shari Sharan, with an area of 81m², the price is $39,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - floor number: 6","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'Storage Space', 'CCTV Security']",Apartment,39500.0,Iraq,45.304399688030465,36,186,3,21,12,107,2,1,1,0,0,1,0,0,6
House (200m²),4.0,2.0,2152.78,"Soma City, Kirkuk",https://homele.com/properties/house-200m2-58759,"House (Type D) For Sale, located in Kirkuk, Soma City, with an area of 200m², the price is IQD 235,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'Central Air-Conditioner', 'Satellite/Cable TV', 'CCTV Security', 'Security Staff', 'Waste Disposal']",House,165727.0,Iraq,76.98278505002833,38,184,2,13,11,113,2,0,0,0,0,1,0,1,6
Apartment in Installment,3.0,2.0,1776.04,"New Chwar Chra, Sulaymaniyah",https://homele.com/properties/apartment-in-installment-52114,"Apartment For Sale, located in Sulaymaniyah, Chwar Chray Nwe, with an area of 165m², the price is $112,000. Payment Plan: - Down payment 10,000$ - Monthly Installment (Year 1 and 2) 450$ - Monthly Installment (Year 3 and 4) 550$ - Annual Installment (Year 1, 2 and 3) 5,200$ - Handover the key 10,000$ - Monthly installment after handover the key 875$ Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms",[],Apartment,112000.0,Iraq,63.06164275579379,77,419,3,24,1,2,0,0,0,0,0,0,0,0,0
Apartment (142m²),2.0,2.0,1528.47,"Harir Towers, Baghdad",https://homele.com/properties/apartment-142m2-46810,"Apartment For Sale, located in Baghdad, Harir Towers, with an area of 142m², the price is IQD 305,300,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['CCTV Security', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Playground', 'Green Area']",Apartment,215304.0,Iraq,140.8624310585095,32,167,2,17,11,102,2,0,0,0,0,0,0,1,6
Stylish 2BR Apartment in Baghdad View,2.0,2.0,1485.42,"Baghdad View, Baghdad",https://homele.com/properties/stylish-2br-apartment-in-baghdad-view-75218,"Apartment For Sale, located in Baghdad, Baghdad View, with an area of 138m², the price is IQD 170,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Double Glazed Windows', 'Satellite/Cable TV', 'CCTV Security']",Apartment,119887.0,Iraq,80.70915969894037,32,167,6,37,12,120,2,1,1,0,0,1,0,1,6
