title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country
Spacious Residential Plot in Wazyiran,N/A,N/A,9687.51 sqft,"Wazyiran, Erbil",https://homele.com/properties/spacious-residential-plot-in-wazyiran-82779,"Residential Plot For Sale, located in Erbil, Wazyiran, with an area of (450+450) 900m², the price is $1,800,000 (Negotiable).",[],Residential Plot,"$1,800,000",Iraq
Modern Two-Bedroom Apartment in High Rise,2,2,1227.08 sqft,"Unique Towers, Erbil",https://homele.com/properties/modern-two-bedroom-apartment-in-high-rise-72938,"Apartment For Sale, located in Erbil, Unique Towers, with an area of 114m², the price is $94,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 21","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,"$94,000",Iraq
Corner House,5,4,5381.95 sqft,"Light City, Erbil",https://homele.com/properties/corner-house-82776,House for sale in Light City - Renovated - 500 sqm - 5 bedrooms - Hot and cold kitchen - Living Room - Corner - Opposite Garden - Qibla and East facing - Air conditioned duct,"['Green Area', 'Duct Air Cooler', 'Duct']",House,"$170,000",Iraq
3 Bedroom Apartment in English Tower,3,2,2002.09 sqft,"English Tower, Erbil",https://homele.com/properties/3-bedroom-apartment-in-english-tower-72154,"Apartment For Sale, located in Erbil, English Tower, with an area of 186m², the price is $199,020. - Building B7 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 3","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$199,020",Iraq
Luxurious Residence in Buruj Complex,5,5,3379.86 sqft,"Buruj Residential Complex, Baghdad",https://homele.com/properties/luxurious-residence-in-buruj-complex-68403,"Apartment For Sale, located in Baghdad, Buruj Residential Complex, with an area of 314m², the price is IQD 824,250,000. - Building Hadeer E Consists of: - 5 Bedrooms - 1 Kitchen - 1 Hall - 5 Bathrooms","['Balcony', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",Apartment,"$581,278",Iraq
Cozy House with 4 Bedrooms in Kirkuk,4,2,2152.78 sqft,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/cozy-house-with-4-bedrooms-in-kirkuk-75321,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m², the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",House,"$126,940",Iraq
Spacious Apartment in Emperor Hills Complex,4,3,2098.96 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/spacious-apartment-in-emperor-hills-complex-70670,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 195m², the price is IQD 380,250,000. - Building B3 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 6","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$268,160",Iraq
Apartment (167m²),2,2,1797.57 sqft,"Alaska Towers, Erbil",https://homele.com/properties/apartment-167m2-72617,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 167m², the price is $128,860. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 16","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$128,860",Iraq
Modern Apartment in installment,1,1,1377.78 sqft,"London Towers, Erbil",https://homele.com/properties/modern-apartment-in-installment-65322,"Apartment For Sale, located in Erbil, London Towers, with an area of 128m², the price is $134,400. - Building A Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom","['Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Security Staff', '24hr Electricity', 'Playground']",Apartment,"$134,400",Iraq
New Residential Plot,N/A,N/A,3229.17 sqft,"Baghlumnara, Erbil",https://homele.com/properties/new-residential-plot-82775,"Residential Plot For Sale, located in Erbil, Baghlumnara section 5000, with an area of 300m², the price is $41,000.",[],Residential Plot,"$41,000",Iraq
Residential Plot (200m²),N/A,N/A,2152.78 sqft,"Hawari Shar, Erbil",https://homele.com/properties/residential-plot-200m2-68682,"Residential Plot For Sale, located in Erbil, Hawari Shar, with an area of 200m², the price is $97,500 (Negotiable).",[],Residential Plot,"$97,500",Iraq
Spacious Apartment in Vana Towers,4,2,2443.41 sqft,"Vana Towers, Erbil",https://homele.com/properties/spacious-apartment-in-vana-towers-82774,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 227m², the price is $167,980. - Corner and External View Apartment - Building A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$167,980",Iraq
4-Bedroom Apartment in Vana Tower,4,2,2443.41 sqft,"Vana Towers, Erbil",https://homele.com/properties/4-bedroom-apartment-in-vana-tower-82773,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 227m², the price is $170,250. - Corner and Internal View Apartment - Building A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$170,250",Iraq
"Building A4, 9th floor, No.6",2,2,1485.42 sqft,"Asco International City, Erbil",https://homele.com/properties/building-a4-9th-floor-no6-65379,"Apartment For Sale, located in Erbil, Asco International City, with an area of 138m², the price is $114,540. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 9","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'Satellite/Cable TV']",Apartment,"$114,540",Iraq
House (No. 48),4,3,2152.78 sqft,"Crystal City, Kirkuk",https://homele.com/properties/house-no-48-65199,"House For Sale, located in Kirkuk, Crystal City, with an area of 200m², the price is IQD 215,000,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",House,"$151,622",Iraq
Apartment (186m²),3,2,2002.09 sqft,"Infinity Towers, Sulaymaniyah",https://homele.com/properties/apartment-186m2-65678,"Apartment For Sale, located in Sulaymaniyah, Infinity Towers, with an area of 186m², the price is $150,000. - Type B Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 10","['Balcony', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$150,000",Iraq
Corner Apartment (3+1),3,1,1194.79 sqft,"Bardasur Heights, Kalar",https://homele.com/properties/corner-apartment-31-59064,"Apartment For Sale, located in Kalar, Bardasur, with an area of 111m², the price is $64,000. - Corner, Sulaymanya & Sirwan view Payment plan: - Down payment $6,500 - After 6 months $5,000 - After 6 months $5,000 - Monthly Installment (for 24 months) $350 - Handover the key $7,500 - Monthly Installment $350 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom","['Balcony', 'Parking Spaces', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$64,000",Iraq
Apartment in Slemani Heights,2,2,1517.71 sqft,"Slemani Heights, Sulaymaniyah",https://homele.com/properties/apartment-in-slemani-heights-70221,"Apartment For Sale, located in Sulaymaniyah, Slemani Heights, with an area of 141m², the price is $110,000. - Sulaymanya View payment plan: - Down payment $27,500 - with the Structure $27,500 - Handover the key $27,500 - Remaining amount $27,500 Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 13","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'Storage Space', 'CCTV Security']",Apartment,"$110,000",Iraq
Corner House,3,2,2152.78 sqft,"Atlantic City, Erbil",https://homele.com/properties/corner-house-75919,"House For Sale, located in Erbil, Atlantic City, with an area of 200m², the price is $165,000. - Block K Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Satellite/Cable TV', 'Security Staff', 'Waste Disposal', 'Furnished Kitchen', 'Playground']",House,"$165,000",Iraq
Apartment (119m²),2,1,1280.9 sqft,"Qaiwan Mirador, Erbil",https://homele.com/properties/apartment-119m2-67545,"Apartment for sale in Erbil, Qaiwan Mirador - 2 bedrooms, living room, kitchen, 1 bathroom - With an area of 119sqm - The price per meter is $800 - The total price is $95,200","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",Apartment,"$95,200",Iraq
Corner House,5,3,1722.22 sqft,"Hawlery Nwe, Erbil",https://homele.com/properties/corner-house-82772,"House For Sale, located in Erbil, Hawlery Nwe, with an area of 160m², the price is $140,000 (Negotiable). Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2",[],House,"$140,000",Iraq
Modern House,4,5,2045.14 sqft,"Hiwa City, Erbil",https://homele.com/properties/modern-house-77398,"House For Sale, located in Erbil, Hiwa City, with an area of 190m², the price is $210,000 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 5 Bathrooms - Floor number: 2",[],House,"$210,000",Iraq
Duplex Apartment,3,2,2540.28 sqft,"Tulip Towers, Erbil",https://homele.com/properties/duplex-apartment-82771,"Apartment For Sale, located in Erbil, Tulip Towers, with an area of 236m², the price is $278,980. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 27","['Balcony', 'Parking Spaces', 'Swimming Pool', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows']",Apartment,"$278,980",Iraq
"Spacious Family Home, Prime Location",5,4,3229.17 sqft,"Brayaty, Erbil",https://homele.com/properties/spacious-family-home-prime-location-82768,"House For Sale, located in Erbil, Brayaty, with an area of 300m², the price is $410,000 (Negotiable). Consists of: - 5 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 4 Bathrooms - Floor number: 2","['Balcony', 'Double Glazed Windows', 'Furnished Kitchen', '24hr Electricity', 'Internet', 'Green Area']",House,"$410,000",Iraq
Cozy House with 2 Bedrooms,2,2,1076.39 sqft,"Bayah, Baghdad",https://homele.com/properties/cozy-house-with-2-bedrooms-82764,"Code: 1229 House For Sale, located in Baghdad, Bayah, with an area of 100m², the price is IQD 160,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 1","['Parking Spaces', 'Electricity Generator', 'Internet', 'Green Area', 'Market', 'Shop']",House,"$112,835",Iraq
Modern Apartment with 1 Bedroom in Erbil,1,1,990.28 sqft,"Green World, Erbil",https://homele.com/properties/modern-apartment-with-1-bedroom-in-erbil-82053,"Apartment For Sale, located in Erbil, Green World, with an area of 92m², the price is $73,000 (Negotiable). Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 6",[],Apartment,"$73,000",Iraq
"Commercial Building in Bayah, Baghdad",N/A,N/A,2325.0 sqft,"Bayah, Baghdad",https://homele.com/properties/commercial-building-in-bayah-baghdad-82758,"Code: 1234 Commercial Building For Sale, located in Baghdad, Bayah, with an area of 216m², the price is IQD 850,000,000. Consists of: - Floor number: 2","['Parking Spaces', 'Internet', 'Green Area', 'Market', 'School', 'Mosque']",Commercial Building,"$599,437",Iraq
External View Apartment,3,2,2281.95 sqft,"Vana Towers, Erbil",https://homele.com/properties/external-view-apartment-82756,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 212m², the price is $156,880. - External View Apartment - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$156,880",Iraq
"Commercial Building in Baghdad, Bayah",N/A,N/A,2755.56 sqft,"Bayah, Baghdad",https://homele.com/properties/commercial-building-in-baghdad-bayah-82753,"Code: 1235 Commercial Building For Sale, located in Baghdad, Bayah, with an area of 256m², the price is IQD 1,200,000,000. Consists of: - Floor number: 2","['Parking Spaces', 'Reception', 'Internet', 'Green Area', 'Market', 'School']",Commercial Building,"$846,264",Iraq
Corner Residential Plot,N/A,N/A,3498.27 sqft,"Bayah, Baghdad",https://homele.com/properties/corner-residential-plot-82751,"Code: 1236 Residential Plot For Sale, located in Baghdad, Bayah, with an area of 325m², the price is IQD 640,000,000.","['Internet', 'Playground', 'Green Area', 'Shop', 'School', 'Mosque']",Residential Plot,"$451,341",Iraq
"Spacious house in Al Jihad, Baghdad",2,2,3229.17 sqft,"Al Jihad, Baghdad",https://homele.com/properties/spacious-house-in-al-jihad-baghdad-82749,"Code: 1237 House For Sale, located in Baghdad, Al Jihad, with an area of 300m², the price is IQD 900,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 1","['Internet', 'Playground', 'Green Area', 'School', 'Mosque', 'Restaurant']",House,"$634,698",Iraq
Residential Plot in Al Harithiyah,N/A,N/A,1937.5 sqft,"Al Harithiyah, Baghdad",https://homele.com/properties/residential-plot-in-al-harithiyah-82748,"Code: 1250 Residential Plot For Sale, located in Baghdad, Al Harithiyah, with an area of 180m², the price is IQD 1,080,000,000.","['Parking Spaces', 'CCTV Security', 'Reception', 'Internet', 'Green Area', 'School']",Residential Plot,"$761,638",Iraq
Modern Villa,8,10,11840.29 sqft,"Aram Village 2, Erbil",https://homele.com/properties/modern-villa-82741,"House For Sale, located in Erbil, Aram Village 2, with an area of 1100m², the price is $1,300,000 (Negotiable). Consists of: - 8 Bedrooms - 3 Kitchens - 3 Living Rooms - 2 Halls - 10 Bathrooms - Floor number: 2","['Balcony', 'Swimming Pool', 'Sauna', 'Central Heating', 'Double Glazed Windows', 'Security Staff']",House,"$1,300,000",Iraq
Cozy 3-Bedroom House in Bayah,3,2,1345.49 sqft,"Bayah, Baghdad",https://homele.com/properties/cozy-3-bedroom-house-in-bayah-82747,"Code:1253 House For Sale, located in Baghdad, Bayah, with an area of 125m², the price is IQD 325,000,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Internet', 'Green Area', 'School', 'Mosque']",House,"$229,197",Iraq
commercial property in shaqlawa for sale,N/A,N/A,1657.64 sqft,"Naw Bakhchan, Shaqlawa",https://homele.com/properties/commercial-property-in-shaqlawa-for-sale-82746,"Commercial Property For Sale, located in Shaqlawa, Naw Bakhchan, near shaqlawa bazar, with an area of 154m², the price is $85,000 (Negotiable).",[],Commercial Property,"$85,000",Iraq
Modern Apartment in Prime Location,3,2,2368.06 sqft,"Qaiwan Heights, Sulaymaniyah",https://homele.com/properties/modern-apartment-in-prime-location-82790,"Apartment For Sale, located in Sulaymaniyah, Qaiwan Heights, with an area of 220m², the price is $150,000. - Building a3 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 12","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Sewerage System', '24hr Electricity']",Apartment,"$150,000",Iraq
Spacious 2 Bedroom Apartment in Karada,2,2,1076.39 sqft,"Karada, Baghdad",https://homele.com/properties/spacious-2-bedroom-apartment-in-karada-82708,"Code: 1210 Apartment For Sale, located in Baghdad, Karada, with an area of 100m², the price is IQD 230,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 8","['Parking Spaces', 'Reception', 'Internet', 'Playground', 'Green Area', 'Market']",Apartment,"$162,201",Iraq
Building with Furnished Apartments in Mansour,4,4,516.67 sqft,"Mansour, Baghdad",https://homele.com/properties/building-with-furnished-apartments-in-mansour-82744,"Furnished Residential Building For Sale, located in Baghdad, Mansour, with an area of 48m², the price is IQD 550,000,000. Consists of: - 4 Apartments : First 3 Apartments (1+1) - Fourth Apartment only consists of 1 Kitchen - Floor number: 4","['Balcony', 'Parking Spaces', '24hr Electricity', 'Internet', 'Shop', 'School']",Residential Building,"$387,871",Iraq
VIP House,5,6,5920.14 sqft,"Aram Village 2, Erbil",https://homele.com/properties/vip-house-82742,"House For Sale, located in Erbil, Aram Village 2, with an area of 550m², the price is $550,000 (Negotiable). Consists of: - 5 Bedrooms - 2 Kitchens - 2 Living Rooms - 2 Halls - 6 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Central Heating', 'Security Staff', '24hr Electricity', 'Green Area']",House,"$550,000",Iraq
Charming 2-Story Home in Aram Village 2,4,4,2970.84 sqft,"Aram Village 2, Erbil",https://homele.com/properties/charming-2-story-home-in-aram-village-2-82740,"House For Sale, located in Erbil, Aram Village 2, with an area of 276m², the price is $280,000 (Negotiable). Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 4 Bathrooms - Floor number: 2","['Balcony', 'Central Heating', 'Double Glazed Windows', 'Security Staff', '24hr Electricity', 'Market']",House,"$280,000",Iraq
Studio apartment in Rami Towers,Studio,1,861.11 sqft,"Rami Towers, Erbil",https://homele.com/properties/studio-apartment-in-rami-towers-82721,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 80m², the price is $60,000 (Negotiable). Consists of: - Studio - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 11","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Gym']",Apartment,"$60,000",Iraq
Commercial Space in Empire Square,N/A,N/A,828.82 sqft,"Empire Square, Erbil",https://homele.com/properties/commercial-space-in-empire-square-82720,"Shop For Sale, located in Erbil, Empire Square, with an area of 77m², the price is $308,000 (Negotiable). - Floor number: G","['CCTV Security', 'Security Staff', '24hr Electricity', 'Green Area', 'Fire Fighting', 'Fireplace']",Shop,"$308,000",Iraq
House (200m²),5,4,2152.78 sqft,"Khanzad (Dolarawa), Erbil",https://homele.com/properties/house-200m2-82735,"House For Sale, located in Erbil, Khanzad (Dolarawa), with an area of 200m², the price is $265,000 (Negotiable). Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms - Floor number: 2","['Duct Air Cooler', 'Duct']",House,"$265,000",Iraq
Residential Plot in Cash,N/A,N/A,3229.17 sqft,"Baghlumnara, Erbil",https://homele.com/properties/residential-plot-in-cash-82732,"Residential Plot For Sale, located in Erbil, Baghlumnara section (4000-5000), with an area of 300m², the price is $55,000.",[],Residential Plot,"$55,000",Iraq
Modern Apartment with 2 Bedrooms,2,2,1819.1 sqft,"Vana Towers, Erbil",https://homele.com/properties/modern-apartment-with-2-bedrooms-82728,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 169m², the price is $136,800. - Internal View Apartment - Building A Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$128,440",Iraq
Cozy Family Home in Kirkuk,4,2,2152.78 sqft,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/cozy-family-home-in-kirkuk-75297,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m², the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",House,"$126,940",Iraq
Luxurious Apartment in Prime Location,2,2,1367.02 sqft,"English Tower, Erbil",https://homele.com/properties/luxurious-apartment-in-prime-location-72153,"Apartment For Sale, located in Erbil, English Tower, with an area of 127m², the price is $135,890. - Building B6 Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 3","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$135,890",Iraq
Modern Apartment in a Great Project,2,2,1754.52 sqft,"Buruj Residential Complex, Baghdad",https://homele.com/properties/modern-apartment-in-a-great-project-69968,"Apartment For Sale, located in Baghdad, Buruj Residential Complex, with an area of 163m², the price is $275,256. - Building Riviera B Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",Apartment,"$275,256",Iraq
Modern Apartment in Building C4,3,3,1840.63 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/modern-apartment-in-building-c4-70527,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m², the price is IQD 333,450,000. - Building C4 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 6","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$235,156",Iraq
Apartment (266m²),3,2,2863.2 sqft,"London Towers, Erbil",https://homele.com/properties/apartment-266m2-65861,"Apartment For Sale, located in Erbil, London Towers, with an area of 266m², the price is $260,680. - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Security Staff', '24hr Electricity', 'Playground']",Apartment,"$260,680",Iraq
Modern 1 Bed Apartment in Erbil,1,1,1087.15 sqft,"Alaska Towers, Erbil",https://homele.com/properties/modern-1-bed-apartment-in-erbil-72519,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 101m², the price is $77,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 15","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$77,500",Iraq
Apartment (on 21st floor),2,2,1506.95 sqft,"Infinity Towers, Sulaymaniyah",https://homele.com/properties/apartment-on-21st-floor-65579,"Apartment For Sale, located in Sulaymaniyah, Infinity Towers, with an area of 140m², the price is $120,000. - Building A Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 21","['Balcony', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$120,000",Iraq
House (No. 47),4,3,2152.78 sqft,"Crystal City, Kirkuk",https://homele.com/properties/house-no-47-63067,"House For Sale, located in Kirkuk, Crystal City, with an area of 200m², the price is IQD 215,000,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",House,"$151,622",Iraq
Corner Apartment,3,1,1194.79 sqft,"Bardasur Heights, Kalar",https://homele.com/properties/corner-apartment-62380,"Apartment For Sale, located in Kalar, Bardasur Height, with an area of 111m², the price is $63,000. - Corner, Sulaymanya & Rizgary view - Building A5 Payment plan: - Down payment $6,500 - After 6 months $5,000 - After 6 months $5,000 - Monthly Installment (for 24 months) $350 - Handover the key $7,500 - Monthly Installment $350 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor Number: 2","['Balcony', 'Parking Spaces', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$63,000",Iraq
Spacious House for Sale in Sulaymaniyah,N/A,N/A,5048.27 sqft,"Qaiwan Tourism Village, Sulaymaniyah",https://homele.com/properties/spacious-house-for-sale-in-sulaymaniyah-75615,"House For Sale, located in Sulaymaniyah, Qaiwan Tourism Village, with an area of 469m², the price is $422,100.","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",House,"$422,100",Iraq
Spacious Apartment with Modern Design,3,2,2281.95 sqft,"Vana Towers, Erbil",https://homele.com/properties/spacious-apartment-with-modern-design-82729,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 212m², the price is $159,000. - Internal View Apartment - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$159,000",Iraq
Spacious 3 Bedroom House in Erbil,3,2,2152.78 sqft,"Atlantic City, Erbil",https://homele.com/properties/spacious-3-bedroom-house-in-erbil-75918,"House For Sale, located in Erbil, Atlantic City, with an area of 200m², the price is $149,000. - Block K Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Satellite/Cable TV', 'Security Staff', 'Waste Disposal', 'Furnished Kitchen', 'Playground']",House,"$149,000",Iraq
Modern apartment in prime location,1,1,1044.1 sqft,"Boulevard, Erbil",https://homele.com/properties/modern-apartment-in-prime-location-82727,"Apartment For Sale, located in Erbil, Boulevard, with an area of 97m², the price is $107,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 7",[],Apartment,"$107,500",Iraq
Residential Plot Opposite Garden,N/A,N/A,2152.78 sqft,"Arab kand, Erbil",https://homele.com/properties/residential-plot-opposite-garden-82726,"Residential Plot For Sale, located in Erbil, Arab kand, with an area of 200m², the price is $21,500.",[],Residential Plot,"$21,500",Iraq
Modern Apartment with Stunning Views,3,2,2325.0 sqft,"Slemani Heights, Sulaymaniyah",https://homele.com/properties/modern-apartment-with-stunning-views-72639,"Apartment For Sale, located in Sulaymaniyah, Slemani Heights, with an area of 216m², the price is $160,000. - Building D8, 12th floor, Apt.5 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 12",[],Apartment,"$160,000",Iraq
"Building A5, 3rd floor, No.6",1,1,1011.81 sqft,"Asco International City, Erbil",https://homele.com/properties/building-a5-3rd-floor-no6-65495,"Apartment For Sale, located in Erbil, Asco International City, with an area of 94m², the price is $78,020. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 3","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'Satellite/Cable TV']",Apartment,"$78,020",Iraq
Apartment (1+1),1,1,688.89 sqft,"Qaiwan Mirador, Erbil",https://homele.com/properties/apartment-11-67449,"Apartment for sale in Erbil, Qaiwan Mirador - 1 Bedroom, Living room, Kitchen, 1 Bathroom - With an area of 63,9 sqm - The price per meter is $780 - The total price is $49,842","['Balcony', 'Parking Spaces', 'Security Staff', 'Green Area']",Apartment,"$49,842",Iraq
200m² Plot in Erbil,N/A,N/A,2152.78 sqft,"Arab kand, Erbil",https://homele.com/properties/200m2-plot-in-erbil-82725,"Residential Plot For Sale, located in Erbil, Arab kand, with an area of 200m², the price is $17,000.",[],Residential Plot,"$17,000",Iraq
Plot for Sale in Residential Area,N/A,N/A,2152.78 sqft,"Arab kand, Erbil",https://homele.com/properties/plot-for-sale-in-residential-area-82724,"Residential Plot For Sale, located in Erbil, Arab kand, with an area of 200m², the price is $17,000.",[],Residential Plot,"$17,000",Iraq
Spacious Plot in Azza,N/A,N/A,3229.17 sqft,"Azza, Erbil",https://homele.com/properties/spacious-plot-in-azza-82719,"Residential Plot For Sale, located in Erbil, Azza, with an area of 300m², the price is $22,000.",[],Residential Plot,"$22,000",Iraq
